rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,calibration_boost_total,calibration_utilization_boost,calibration_spend_boost,calibration_disease_burden_boost,calibration_population_impact_boost,calibration_risk_boost,calibration_notes,methodology_version,calculation_date,source_coverage_flag,source_overall_intelligence_score,source_claims_readiness_score,source_ai_readiness_score,source_semantic_richness_score,source_interoperability_score,source_clinical_semantics_score,source_explainability_score,source_relationship_density_score,source_classification_density_score,source_relationship_count,source_classification_count,source_disease_count,source_atc_hierarchy_depth,source_schedule_count
1601381,Ibrance,76.914855303332,75.06,75.06,65.90310261515997,71.25,71.25,85.14195207752556,80.95,80.95,78.77633559007036,78.36,78.36,32.39686960706226,12.17,12.17,69.49,2128,73.5,3,Operationally Relevant,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,82.34,79.0,83.5,77.5,79.75,90.5,95.0,10.0,91.75,1.0,17.0,1.0,4.0,0.0
1601403,Bexsero,53.58447497676888,62.69,62.69,44.248063852382856,54.22,54.22,74.68770742068233,74.36,74.36,66.92551373954599,66.8,66.8,31.287210440727463,9.22,9.22,58.18,3004,57.46,3,Operationally Relevant,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,72.8,61.0,81.0,74.0,62.0,80.0,88.0,0.0,89.0,0.0,16.0,1.0,4.0,0.0
1601546,Flex24,11.759474976768884,12.95,12.95,11.96689565909996,12.95,12.95,17.767323775388295,25.26,25.26,18.213095712199657,12.95,12.95,59.36433442851454,52.25,52.25,19.34,3276,12.95,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601569,oleth-25,11.759474976768884,12.95,12.95,11.96689565909996,12.95,12.95,17.767323775388295,25.26,25.26,18.213095712199657,12.95,12.95,59.36433442851454,52.25,52.25,19.34,3276,12.95,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601596,triisocetyl citrate,11.759474976768884,12.95,12.95,11.96689565909996,12.95,12.95,17.767323775388295,25.26,25.26,18.213095712199657,12.95,12.95,59.36433442851454,52.25,52.25,19.34,3276,12.95,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601597,polyquaternium-47 (methacrylamidopropyltrimethylammonium chloride-co-methyl acrylate-co-acrylic acid 45:10:45; 1200000 MW),26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1601655,Evotaz,81.28485530333201,82.07,82.07,68.6258404354175,79.24,79.24,98.18608124253285,93.94,93.94,83.07454905084296,86.09,86.09,31.521607427319793,10.43,10.43,77.18,1414,85.48,2,Strategically Important,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,85.82,82.0,86.5,82.0,82.0,100.0,100.0,10.0,100.0,1.0,77.0,3.0,4.0,0.0
1601667,silanol,40.56328819859286,53.68,53.68,44.1684269215452,53.75,53.75,18.292323775388294,54.41,54.41,39.243664874551975,53.79,53.79,64.15240833665207,91.57,91.57,57.65,3033,56.35,3,Operationally Relevant,Risk Intelligence,Disease Burden Intelligence,Utilization Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,26.2,50.0,7.75,9.88,49.75,1.75,15.5,20.0,6.5,2.0,1.0,0.0,0.0,0.0
1601978,Plenamine,81.28485530333201,82.07,82.07,68.610491304925,79.07,79.07,99.62159830080977,96.35,96.35,82.25756046727732,84.43,84.43,31.12078770078322,8.43,8.43,77.17,1415,85.45,2,Strategically Important,Disease Burden Intelligence,Population Impact Intelligence,Risk Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,85.82,82.0,86.5,82.0,82.0,100.0,100.0,10.0,100.0,1.0,67.0,20.0,4.0,0.0
1601983,nonoxynol-2,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
