model,r2,mae,rmse
Linear Regression,0.9999999915159344,0.0015579092314776,0.002168885229594
Random Forest,0.9996775391791548,0.1919209265227053,0.422837060053408
XGBoost,0.9997741870508454,0.1897313313336251,0.3538416799969085
