,Utilization,Spend,Population Impact,Disease Burden,Risk
Utilization,1.0,0.9869081106850616,0.9939097147915968,0.8764429419758443,-0.5046474265501562
Spend,0.9869081106850616,1.0,0.9732841278229802,0.8241759181814771,-0.411264158954253
Population Impact,0.9939097147915968,0.9732841278229802,1.0,0.9016802706318668,-0.5305198478376641
Disease Burden,0.8764429419758443,0.8241759181814771,0.9016802706318668,1.0,-0.7445504511511107
Risk,-0.5046474265501562,-0.411264158954253,-0.5305198478376641,-0.7445504511511107,1.0
