rxcui,drug_name,ehi_v6_score,ehi_v6_rank,ehi_v6_percentile,ehi_v6_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score,ehi_score,ehi_rank,ehi_percentile,ehi_tier_label,ehi_v6_framework_version,ehi_v6_weighting_method,ehi_v6_validation_score,ehi_v6_validation_status,ehi_v6_dashboard_language
71481,emepronium bromide,65.0717,9739,67.681126,Moderate Importance,70.73,67.21,66.62,62.62,34.23,63.96,2576,66.26,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
289623,metylperon hydrochloride,65.0717,9739,67.681126,Moderate Importance,70.73,67.21,66.62,62.62,34.23,63.96,2576,66.26,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
20209,carbazochrome sodium sulfonate,65.0717,9739,67.681126,Moderate Importance,70.73,67.21,66.62,62.62,34.23,63.96,2576,66.26,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
104979,phenazocine hydrobromide,65.0717,9739,67.681126,Moderate Importance,70.73,67.21,66.62,62.62,34.23,63.96,2576,66.26,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
55176,propiverine hydrochloride,65.0717,9739,67.681126,Moderate Importance,70.73,67.21,66.62,62.62,34.23,63.96,2576,66.26,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1299683,Isuprel,65.0537,9747,67.654575,Moderate Importance,66.84,57.79,74.74,97.96,2.36,65.54,2435,68.57,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1426422,acid violet 43,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1314657,octyl triazone,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1362880,"1,5-pentanediol",65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1368201,diclazuril,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1311138,sodium bromide,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
196342,samarium Sm153,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1306115,bemotrizinol,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1363705,lauric acid diethanolamide,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1313764,annatto extract,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
56790,succinylated gelatin,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1426482,glycocholic acid,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1364276,new coccine,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1428217,cupric glycinate,65.0439,9748,67.651256,Moderate Importance,61.07,68.06,59.52,58.85,96.79,65.71,2420,68.74,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
900431,Addaprin,65.0428,9761,67.608111,Moderate Importance,66.84,58.28,75.81,95.43,2.98,65.38,2450,68.28,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
541710,Samson 8,65.0428,9761,67.608111,Moderate Importance,66.84,58.28,75.81,95.43,2.98,65.38,2450,68.28,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1603378,Salinocaine,65.0368,9763,67.601474,Moderate Importance,66.84,58.48,74.15,97.76,1.87,65.53,2436,68.52,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2735119,Xyvona,65.0317,9764,67.598155,Moderate Importance,66.84,56.58,73.7,94.33,13.27,65.44,2444,68.35,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
905391,Carbaglu,65.0296,9765,67.594836,Moderate Importance,71.14,64.41,68.87,74.03,15.9,64.17,2558,66.45,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1716196,Praxbind,65.0296,9765,67.594836,Moderate Importance,71.14,64.41,68.87,74.03,15.9,64.17,2558,66.45,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
353017,Testopel,65.0224,9767,67.588198,Moderate Importance,66.84,57.07,74.38,92.51,13.52,65.33,2455,68.22,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2001346,Preventeza,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1303925,Next Choice One Dose,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2261388,E-Con,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2644389,After banger,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2049242,PostDay One-Step,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2047723,AfterPlan,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1600597,EContra,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2722265,Restart,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2590818,Fem Choice,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2606544,Julie,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2632737,Ithappenz,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1598653,Aftera,65.0191,9768,67.584879,Moderate Importance,66.84,57.79,74.74,97.71,2.36,65.49,2440,68.44,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1809051,Kovanaze,65.0185,9780,67.545053,Moderate Importance,66.84,58.4,75.13,96.09,2.65,65.4,2448,68.3,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
2045197,Flac,65.0106,9781,67.541734,Moderate Importance,66.84,57.97,74.83,97.23,2.4,65.46,2443,68.36,Operationally Relevant,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
