,PC1,PC2,PC3,PC4,PC5
Utilization,0.47796185420080073,0.24240748614390278,-0.22243355028788803,-0.2007430805724441,0.7893140109607432
Spend,0.462291276828643,0.3609117248941301,-0.30196719594321303,0.6887866638702362,-0.3006962694327787
Population Impact,0.48132893826546963,0.19859485575374258,-0.02473751571899827,-0.6691647219006801,-0.5296122796310749
Disease Burden,0.4677954906346644,-0.2116549710126543,0.8340120017440099,0.19110454986468547,0.06536500711750672
Risk,-0.3276111619392504,0.8524925770991323,0.4039197501280675,-0.031189313256254163,0.042466395641462186
