,Utilization,Spend,Population Impact,Disease Burden,Risk
Utilization,1.0,0.9869081106850617,0.9939097147915968,0.8764429419758443,-0.5046474265501562
Spend,0.9869081106850617,1.0,0.9732841278229802,0.8241759181814771,-0.41126415895425306
Population Impact,0.9939097147915968,0.9732841278229802,1.0,0.9016802706318667,-0.5305198478376641
Disease Burden,0.8764429419758443,0.8241759181814771,0.9016802706318667,1.0,-0.7445504511511107
Risk,-0.5046474265501562,-0.41126415895425306,-0.5305198478376641,-0.7445504511511107,1.0
