rxcui,drug_name,ehi_score,ehi_rank,ehi_percentile,ehi_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label
1545653,empagliflozin,92.83,28,99.86,Enterprise Critical,99.93,99.88,99.9,99.54,29.9,93.95780065544052,41,99.86724635757194,Strategic Priority
83367,atorvastatin,92.83,28,99.86,Enterprise Critical,99.95,99.82,99.97,99.7,29.52,93.95432427420299,42,99.86392751651123,Strategic Priority
1551291,dulaglutide,92.83,28,99.86,Enterprise Critical,99.92,99.87,99.88,99.6,29.84,93.95159028364652,43,99.86060867545054,Strategic Priority
1373458,canagliflozin,92.82,29,99.84,Enterprise Critical,99.92,99.87,99.83,99.64,29.76,93.94199073143426,44,99.85728983438983,Strategic Priority
103468,hydrocortisone butyrate,92.84,27,99.87,Enterprise Critical,99.8,99.73,99.91,99.69,30.38,93.93705025143107,45,99.85397099332913,Strategic Priority
6809,metformin,92.8,31,99.83,Enterprise Critical,99.96,99.83,99.97,99.64,29.34,93.93695120405441,46,99.85065215226842,Strategic Priority
475968,liraglutide,92.79,32,99.82,Enterprise Critical,99.93,99.88,99.91,99.28,30.0,93.93194650602473,47,99.84733331120773,Strategic Priority
19831,budesonide,92.82,29,99.84,Enterprise Critical,99.8,99.76,99.91,99.59,30.4,93.93147355649825,48,99.84401447014703,Strategic Priority
27197,hydrocortisone acetate,92.83,28,99.86,Enterprise Critical,99.79,99.72,99.89,99.74,30.31,93.92861397261177,49,99.84069562908631,Strategic Priority
10582,levothyroxine,92.8,31,99.83,Enterprise Critical,99.96,99.83,99.96,99.75,29.08,93.92857392674567,50,99.83737678802562,Strategic Priority
314684,"insulin lispro protamine, human",92.78,33,99.81,Enterprise Critical,99.95,99.9,99.82,99.16,30.12,93.92255500675027,51,99.83405794696492,Strategic Priority
27196,hydrocortisone probutate,92.82,29,99.84,Enterprise Critical,99.79,99.72,99.88,99.69,30.3,93.91917785802812,52,99.83073910590421,Strategic Priority
1538097,vedolizumab,92.84,27,99.87,Enterprise Critical,99.63,99.93,99.35,99.09,32.52,93.91784430579835,53,99.82742026484351,Strategic Priority
41126,fluticasone,92.8,31,99.83,Enterprise Critical,99.8,99.74,99.89,99.57,30.32,93.91423007191877,54,99.82410142378282,Strategic Priority
48933,dexamethasone sodium phosphate,92.81,30,99.84,Enterprise Critical,99.78,99.71,99.87,99.71,30.28,93.91248429372553,55,99.82078258272212,Strategic Priority
55062,prednisolone sodium phosphate,92.81,30,99.84,Enterprise Critical,99.77,99.69,99.86,99.77,30.22,93.9057622803722,56,99.81746374166141,Strategic Priority
34372,prednisolone acetate,92.8,31,99.83,Enterprise Critical,99.77,99.69,99.85,99.73,30.22,93.89855207281389,57,99.81414490060071,Strategic Priority
235743,metformin hydrochloride,92.76,34,99.8,Enterprise Critical,99.94,99.81,99.95,99.64,29.03,93.89527555642115,58,99.81082605954,Strategic Priority
27199,hydrocortisone valerate,92.79,32,99.82,Enterprise Critical,99.77,99.68,99.85,99.69,30.2,93.88914458100697,59,99.8075072184793,Strategic Priority
155323,methylprednisolone acetate,92.78,33,99.81,Enterprise Critical,99.75,99.67,99.83,99.72,30.15,93.87572105177136,60,99.8041883774186,Strategic Priority
1488564,dapagliflozin,92.72,36,99.78,Enterprise Critical,99.91,99.86,99.84,99.13,29.82,93.87209192648368,61,99.80086953635791,Strategic Priority
10761,triamcinolone acetonide,92.78,33,99.81,Enterprise Critical,99.74,99.66,99.81,99.78,30.11,93.87119632266666,62,99.7975506952972,Strategic Priority
705022,fluticasone furoate,92.76,34,99.8,Enterprise Critical,99.78,99.68,99.83,99.57,30.16,93.86972725953322,63,99.7942318542365,Strategic Priority
40144,levothyroxine sodium,92.73,35,99.79,Enterprise Critical,99.94,99.81,99.92,99.75,28.54,93.86415765851449,64,99.7909130131758,Strategic Priority
1605101,insulin isophane,92.71,37,99.78,Enterprise Critical,99.91,99.79,99.9,99.31,29.47,93.86222936592259,65,99.7875941721151,Strategic Priority
22690,dexamethasone acetate,92.73,35,99.79,Enterprise Critical,99.78,99.71,99.81,99.46,30.03,93.84676942907892,66,99.78427533105439,Strategic Priority
50121,fluticasone propionate,92.73,35,99.79,Enterprise Critical,99.75,99.66,99.81,99.57,30.06,93.84184413839327,67,99.7809564899937,Strategic Priority
83366,atorvastatin calcium,92.68,38,99.77,Enterprise Critical,99.94,99.8,99.94,99.39,28.81,93.83828897359143,68,99.777637648933,Strategic Priority
34376,prednisolone tebutate,92.72,36,99.78,Enterprise Critical,99.77,99.68,99.8,99.5,30.0,93.83762020200324,69,99.77431880787229,Strategic Priority
203189,methylprednisolone sodium succinate,92.68,38,99.77,Enterprise Critical,99.74,99.65,99.79,99.48,29.83,93.80055951853008,70,99.77099996681159,Strategic Priority
69120,tiotropium,92.66,39,99.77,Enterprise Critical,99.74,99.64,99.75,99.51,29.59,93.7755800975635,71,99.76768112575088,Strategic Priority
10762,triamcinolone diacetate,92.65,40,99.76,Enterprise Critical,99.71,99.49,99.78,99.72,29.53,93.76003880214054,72,99.7643622846902,Strategic Priority
2601723,tirzepatide,92.6,41,99.76,Enterprise Critical,99.82,99.84,99.66,99.52,28.46,93.74166748963113,73,99.76104344362949,Strategic Priority
1114195,rivaroxaban,92.54,44,99.74,Enterprise Critical,99.77,99.84,99.71,97.6,31.72,93.73973051275009,74,99.75772460256879,Strategic Priority
1307298,enzalutamide,92.6,41,99.76,Enterprise Critical,99.61,99.97,98.81,97.89,33.23,93.72205422055615,75,99.75440576150808,Strategic Priority
6918,metoprolol,92.56,42,99.75,Enterprise Critical,99.88,99.71,99.89,99.65,27.52,93.71399003563315,76,99.75108692044739,Strategic Priority
17767,amlodipine,92.54,44,99.74,Enterprise Critical,99.91,99.74,99.9,99.58,27.31,93.70657573688375,77,99.74776807938667,Strategic Priority
163524,hydrocortisone cypionate,92.55,43,99.75,Enterprise Critical,99.71,99.46,99.75,99.43,29.2,93.68051409933605,78,99.74444923832597,Strategic Priority
235483,hydrocortisone sodium succinate,92.55,43,99.75,Enterprise Critical,99.71,99.46,99.75,99.43,29.2,93.68051409933605,78,99.74444923832597,Strategic Priority
20352,carvedilol,92.51,45,99.74,Enterprise Critical,99.89,99.73,99.87,99.71,26.86,93.67159234583372,80,99.73781155620458,Strategic Priority
4493,fluoxetine,92.49,47,99.73,Enterprise Critical,99.91,99.72,99.86,99.54,27.03,93.66635392437891,81,99.73449271514387,Strategic Priority
29046,lisinopril,92.48,48,99.72,Enterprise Critical,99.89,99.73,99.87,99.58,26.86,93.65361223198482,82,99.73117387408317,Strategic Priority
203191,metoprolol tartrate,92.47,49,99.72,Enterprise Critical,99.86,99.67,99.84,99.65,26.89,93.63593149767479,83,99.72785503302248,Strategic Priority
4917,nitroglycerin,92.5,46,99.73,Enterprise Critical,99.5,99.52,99.54,98.47,31.48,93.63576186076324,84,99.72453619196176,Strategic Priority
42463,pravastatin,92.43,51,99.71,Enterprise Critical,99.89,99.7,99.82,99.49,26.72,93.61440711867108,85,99.72121735090107,Strategic Priority
52175,losartan,92.42,52,99.71,Enterprise Critical,99.88,99.7,99.82,99.55,26.44,93.595199913361,86,99.71789850984037,Strategic Priority
221109,"insulin, regular, pork",92.23,59,99.69,Enterprise Critical,100.0,99.95,99.99,95.55,31.3,93.58171883759123,87,99.71457966877966,Strategic Priority
9601,scopolamine,92.46,50,99.72,Enterprise Critical,99.22,99.52,99.63,98.54,31.65,93.56548399806974,88,99.71126082771896,Strategic Priority
36567,simvastatin,92.27,56,99.7,Enterprise Critical,99.9,99.74,99.84,98.84,26.24,93.50007160187872,89,99.70794198665826,Strategic Priority
301542,rosuvastatin,92.3,55,99.7,Enterprise Critical,99.88,99.67,99.8,99.49,25.51,93.49859476536926,90,99.70462314559757,Strategic Priority
3992,epinephrine,92.34,54,99.7,Enterprise Critical,99.54,99.6,99.6,99.31,27.81,93.4858357516064,91,99.70130430453685,Strategic Priority
6816,methamphetamine,92.35,53,99.71,Enterprise Critical,99.31,99.27,99.34,98.5,31.38,93.46896023463503,92,99.69798546347616,Strategic Priority
1790539,infliximab-dyyb,92.51,45,99.74,Enterprise Critical,98.82,99.81,98.52,99.83,31.66,93.46572869115877,93,99.69466662241545,Strategic Priority
203160,losartan potassium,92.26,57,99.69,Enterprise Critical,99.85,99.65,99.79,99.55,25.18,93.46130313222221,94,99.69134778135475,Strategic Priority
203144,pravastatin sodium,92.25,58,99.69,Enterprise Critical,99.85,99.64,99.78,99.49,25.24,93.45419417497547,95,99.68802894029405,Strategic Priority
4083,estradiol,92.22,60,99.68,Enterprise Critical,99.45,99.57,99.57,98.93,27.76,93.38230177962801,96,99.68471009923334,Strategic Priority
5640,ibuprofen,92.1,63,99.67,Enterprise Critical,99.48,99.59,99.65,96.21,31.7,93.36769618097796,97,99.68139125817265,Strategic Priority
25480,gabapentin,91.97,68,99.65,Enterprise Critical,99.96,99.82,99.96,95.58,29.21,93.36059436898567,98,99.67807241711193,Strategic Priority
36437,sertraline,92.13,61,99.68,Enterprise Critical,99.9,99.69,99.77,99.55,23.63,93.35560172843206,99,99.67475357605124,Strategic Priority
6387,lidocaine,92.06,64,99.67,Enterprise Critical,99.39,99.6,99.65,97.83,28.28,93.2705401720783,100,99.67143473499054,Strategic Priority
8163,phenylephrine,92.06,64,99.67,Enterprise Critical,99.03,99.5,99.64,96.82,31.7,93.25487850662132,101,99.66811589392984,Strategic Priority
8745,promethazine,92.11,62,99.68,Enterprise Critical,98.88,99.34,99.6,97.55,31.64,93.25044244541975,102,99.66479705286913,Strategic Priority
323828,rosuvastatin calcium,91.99,66,99.66,Enterprise Critical,99.84,99.63,99.73,99.49,22.7,93.22563200111932,103,99.66147821180844,Strategic Priority
6373,levonorgestrel,92.03,65,99.66,Enterprise Critical,99.36,99.51,99.55,98.19,27.72,93.22492889014045,104,99.65815937074774,Strategic Priority
3288,dextroamphetamine,91.95,69,99.65,Enterprise Critical,99.5,99.16,99.09,96.61,31.29,93.20816817079023,105,99.65484052968704,Strategic Priority
11118,valproic acid,91.95,69,99.65,Enterprise Critical,99.51,99.34,99.53,97.79,27.76,93.19100023606994,106,99.65152168862633,Strategic Priority
1101333,gabapentin enacarbil,91.74,84,99.57,Enterprise Critical,99.94,99.8,99.93,94.74,28.71,93.18504805379115,107,99.64820284756563,Strategic Priority
104416,amlodipine besylate,91.91,72,99.63,Enterprise Critical,99.86,99.66,99.76,98.87,22.95,93.18036677971277,108,99.64488400650492,Strategic Priority
221124,metoprolol succinate,91.94,70,99.64,Enterprise Critical,99.76,99.22,99.77,99.65,23.14,93.17053343437203,109,99.64156516544422,Strategic Priority
82122,levofloxacin,91.98,67,99.66,Enterprise Critical,99.22,99.45,99.51,98.28,27.65,93.15693430972371,110,99.63824632438353,Strategic Priority
6054,isoproterenol,91.93,71,99.64,Enterprise Critical,99.34,99.44,99.47,97.96,27.58,93.14475551372239,111,99.63492748332283,Strategic Priority
6851,methotrexate,91.93,71,99.64,Enterprise Critical,99.22,99.43,99.48,98.14,27.6,93.12394439617438,112,99.63160864226212,Strategic Priority
8076,perphenazine,91.88,74,99.62,Enterprise Critical,99.27,99.35,99.41,97.99,27.51,93.08588522257497,113,99.62828980120142,Strategic Priority
8896,pseudoephedrine,91.72,85,99.56,Enterprise Critical,99.39,99.55,99.62,94.51,31.69,93.08277667813287,114,99.62497096014073,Strategic Priority
9068,quinidine,91.86,76,99.61,Enterprise Critical,99.15,99.36,99.45,98.03,27.54,93.05596633413856,115,99.62165211908001,Strategic Priority
3966,ephedrine,91.87,75,99.62,Enterprise Critical,99.03,99.4,99.5,98.12,27.64,93.04710900753835,116,99.6183332780193,Strategic Priority
8183,phenytoin,91.74,84,99.57,Enterprise Critical,99.27,99.21,99.5,95.37,31.53,93.0467786487734,117,99.61501443695862,Strategic Priority
6854,methoxsalen,91.85,77,99.61,Enterprise Critical,99.36,99.39,99.0,98.51,26.45,93.04359267845734,118,99.61169559589791,Strategic Priority
6130,ketamine,91.89,73,99.63,Enterprise Critical,98.74,99.04,99.45,97.19,31.48,93.0416189506013,119,99.60837675483721,Strategic Priority
668310,carvedilol phosphate,91.79,80,99.59,Enterprise Critical,99.76,99.15,99.74,99.71,21.75,93.04131964227975,120,99.6050579137765,Strategic Priority
7052,morphine,91.8,79,99.59,Enterprise Critical,99.08,99.05,99.37,96.32,31.43,93.03867151667137,121,99.60173907271582,Strategic Priority
4124,ethinyl estradiol,91.76,82,99.58,Enterprise Critical,99.27,99.53,99.63,96.67,28.19,93.03695390565129,122,99.5984202316551,Strategic Priority
7514,norethindrone,91.7,86,99.55,Enterprise Critical,99.55,99.58,99.56,96.13,27.75,93.03377382669296,123,99.59510139059441,Strategic Priority
88249,montelukast,91.58,94,99.51,Enterprise Critical,99.73,99.62,99.72,94.23,29.47,93.02187767298565,124,99.5917825495337,Strategic Priority
4461,fluocinolone acetonide,91.84,78,99.6,Enterprise Critical,98.97,99.41,99.54,97.98,27.71,93.01910619269333,125,99.588463708473,Strategic Priority
4492,fluorouracil,91.74,84,99.57,Enterprise Critical,99.5,99.29,99.32,97.17,27.32,93.01807536943747,126,99.5851448674123,Strategic Priority
21212,clarithromycin,91.85,77,99.61,Enterprise Critical,98.97,99.38,99.51,98.09,27.65,93.01766109342154,127,99.58182602635159,Strategic Priority
6058,isosorbide dinitrate,91.8,79,99.59,Enterprise Critical,99.27,99.42,99.12,98.17,26.6,93.00075248699758,128,99.5785071852909,Strategic Priority
7258,naproxen,91.67,88,99.54,Enterprise Critical,99.39,99.55,99.63,96.02,28.2,92.99915583147157,129,99.5751883442302,Strategic Priority
21183,citric acid,91.88,74,99.62,Enterprise Critical,98.88,99.39,99.19,99.06,26.79,92.99267510476753,130,99.5718695031695,Strategic Priority
6135,ketoconazole,91.91,72,99.63,Enterprise Critical,98.57,99.27,99.52,99.14,27.7,92.98842362134053,131,99.56855066210879,Strategic Priority
4053,erythromycin,91.77,81,99.58,Enterprise Critical,99.08,99.44,99.53,97.41,27.7,92.98729208108492,132,99.5652318210481,Strategic Priority
3389,diethylpropion,91.8,79,99.59,Enterprise Critical,98.97,98.89,98.97,97.07,31.25,92.98211152359157,133,99.56191297998738,Strategic Priority
8787,propranolol,91.86,76,99.61,Enterprise Critical,98.74,99.23,99.43,98.81,27.53,92.9710092915705,134,99.55859413892668,Strategic Priority
6878,methylene blue,91.69,87,99.54,Enterprise Critical,99.43,99.51,99.18,97.14,26.76,92.96406009787606,135,99.55527529786599,Strategic Priority
1000112,medroxyprogesterone acetate,91.7,86,99.55,Enterprise Critical,99.15,99.48,99.61,96.75,27.91,92.9632356708708,136,99.55195645680529,Strategic Priority
7623,ofloxacin,91.8,79,99.59,Enterprise Critical,98.88,99.29,99.47,98.18,27.58,92.962631602541,137,99.54863761574458,Strategic Priority
28004,isosorbide mononitrate,91.75,83,99.58,Enterprise Critical,99.22,99.4,99.08,98.07,26.54,92.95124062126985,138,99.54531877468388,Strategic Priority
6922,metronidazole,91.62,92,99.52,Enterprise Critical,99.36,99.56,99.58,96.03,27.78,92.94722043766174,139,99.54199993362319,Strategic Priority
6901,methylphenidate,91.72,85,99.56,Enterprise Critical,99.03,98.88,98.94,96.61,31.24,92.93386399049898,140,99.53868109256247,Strategic Priority
70223,aldesleukin,91.74,84,99.57,Enterprise Critical,98.88,99.23,99.41,98.03,27.49,92.91109569784606,141,99.53536225150178,Strategic Priority
5489,hydrocodone,91.65,90,99.53,Enterprise Critical,98.88,99.09,99.45,95.74,31.49,92.9075559846399,142,99.53204341044108,Strategic Priority
10395,tetracycline,91.64,91,99.53,Enterprise Critical,99.03,99.48,99.55,96.79,27.75,92.89833502213553,143,99.52872456938037,Strategic Priority
6628,mannitol,91.55,95,99.51,Enterprise Critical,99.34,99.54,99.27,96.44,26.87,92.86302394202636,144,99.52540572831967,Strategic Priority
42612,cromolyn,91.62,92,99.52,Enterprise Critical,98.97,99.33,99.47,97.1,27.59,92.85801969164909,145,99.52208688725896,Strategic Priority
28031,itraconazole,91.66,89,99.54,Enterprise Critical,98.74,99.31,99.52,97.59,27.66,92.84584635068677,146,99.51876804619828,Strategic Priority
7393,niacin,91.46,101,99.49,Enterprise Critical,99.5,99.58,99.35,95.56,26.96,92.83358628639921,147,99.51544920513756,Strategic Priority
155137,sertraline hydrochloride,91.45,102,99.48,Enterprise Critical,99.83,99.62,99.69,97.9,20.62,92.81760685072345,148,99.51213036407687,Strategic Priority
1492727,apremilast,91.22,119,99.39,Enterprise Critical,99.62,99.92,99.27,91.06,32.55,92.79023582141895,149,99.50881152301616,Strategic Priority
108118,mometasone,91.65,90,99.53,Enterprise Critical,98.4,99.11,99.41,98.48,27.49,92.7595378330168,150,99.50549268195546,Strategic Priority
