component,explained_variance_ratio,cumulative_variance
PC1,0.8318331435528253,0.8318331435528253
PC2,0.14873126513361212,0.9805644086864375
PC3,0.01610135906030327,0.9966657677467408
PC4,0.0028209318827019407,0.9994866996294427
PC5,0.0005133003705572483,1.0
