tier,percentile_rule,record_count,min_score,max_score
Strategic Priority,>= 97,904,89.77047559791926,94.33667456617768
Enterprise Critical,>= 90,3014,82.4275949607564,94.33667456617768
High Importance,>= 75,7533,70.83920101924329,94.33667456617768
Moderate Importance,>= 50,15151,52.73635324839674,94.33667456617768
Foundational,< 50,14981,17.964866357367665,52.69879082690149
