rxcui,drug_name,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score
48933,dexamethasone sodium phosphate,93.91248429372553,55,99.82078258272212,Strategic Priority,99.78,99.71,99.87,99.71,30.28
55062,prednisolone sodium phosphate,93.9057622803722,56,99.81746374166141,Strategic Priority,99.77,99.69,99.86,99.77,30.22
34372,prednisolone acetate,93.89855207281389,57,99.81414490060071,Strategic Priority,99.77,99.69,99.85,99.73,30.22
235743,metformin hydrochloride,93.89527555642115,58,99.81082605954,Strategic Priority,99.94,99.81,99.95,99.64,29.03
27199,hydrocortisone valerate,93.88914458100697,59,99.8075072184793,Strategic Priority,99.77,99.68,99.85,99.69,30.2
155323,methylprednisolone acetate,93.87572105177136,60,99.8041883774186,Strategic Priority,99.75,99.67,99.83,99.72,30.15
1488564,dapagliflozin,93.87209192648368,61,99.80086953635791,Strategic Priority,99.91,99.86,99.84,99.13,29.82
10761,triamcinolone acetonide,93.87119632266666,62,99.7975506952972,Strategic Priority,99.74,99.66,99.81,99.78,30.11
705022,fluticasone furoate,93.86972725953322,63,99.7942318542365,Strategic Priority,99.78,99.68,99.83,99.57,30.16
40144,levothyroxine sodium,93.86415765851449,64,99.7909130131758,Strategic Priority,99.94,99.81,99.92,99.75,28.54
1605101,insulin isophane,93.86222936592259,65,99.7875941721151,Strategic Priority,99.91,99.79,99.9,99.31,29.47
22690,dexamethasone acetate,93.84676942907892,66,99.78427533105439,Strategic Priority,99.78,99.71,99.81,99.46,30.03
50121,fluticasone propionate,93.84184413839327,67,99.7809564899937,Strategic Priority,99.75,99.66,99.81,99.57,30.06
83366,atorvastatin calcium,93.83828897359143,68,99.777637648933,Strategic Priority,99.94,99.8,99.94,99.39,28.81
34376,prednisolone tebutate,93.83762020200324,69,99.77431880787229,Strategic Priority,99.77,99.68,99.8,99.5,30.0
203189,methylprednisolone sodium succinate,93.80055951853008,70,99.77099996681159,Strategic Priority,99.74,99.65,99.79,99.48,29.83
69120,tiotropium,93.7755800975635,71,99.76768112575088,Strategic Priority,99.74,99.64,99.75,99.51,29.59
10762,triamcinolone diacetate,93.76003880214054,72,99.7643622846902,Strategic Priority,99.71,99.49,99.78,99.72,29.53
