feature_key,feature,linear_regression_abs_coef_importance,random_forest_gini_importance,random_forest_permutation_importance,xgboost_gain_importance,xgboost_shap_importance,pca_weighted_loading_importance,pca_pc1_loading_importance,ml_statistical_consensus_importance,domain_expert_prior_weight,hybrid_raw_weight,v6_recommended_weight,v6_recommended_weight_pct
utilization_score,Utilization,0.30309310881138557,0.889020498230882,0.8563414798110798,0.55656165,0.44120073,0.20320568999323657,0.21559056637775723,0.4509602491702239,0.25,0.39067217441915675,0.39067217441915675,39.06721744191567
spend_score,Spend,0.2527632979519622,0.09615248916154367,0.12690122838434648,0.15920621,0.23646033,0.20645023526122544,0.2085221599318516,0.2056437707012253,0.25,0.2189506394908577,0.2189506394908577,21.89506394908577
population_impact_score,Population Impact,0.15169321242618264,0.014001503358861309,0.015447253559222301,0.27984473,0.24822481,0.20055749259587913,0.21710933101172009,0.1539806907961237,0.2,0.1677864835572866,0.1677864835572866,16.77864835572866
disease_burden_score,Disease Burden,0.19086035193350154,0.0005651585328383059,0.0010758113436755183,0.0022175736,0.05399685,0.20154452248812027,0.21100490319153836,0.11186938295492516,0.2,0.1383085680684476,0.1383085680684476,13.83085680684476
risk_score,Risk,0.10159002887696811,0.0002603507158746849,0.000234226901675928,0.0021698407,0.020117313,0.18824205966153854,0.1477730394871328,0.07754590637750187,0.1,0.08428213446425131,0.08428213446425131,8.428213446425131
