model,r2,mae,rmse
Linear Regression,0.9999999915159345,0.0015579092314776763,0.002168885229594018
Random Forest,0.9996775391791548,0.19192092652270534,0.42283706005340804
XGBoost,0.9997741870508454,0.18973133133362516,0.3538416799969085
