,Utilization,Spend,Population Impact,Disease Burden,Risk
Utilization,1.0,0.9869071885040284,0.9939097787585547,0.8764492908613816,-0.5046019949933229
Spend,0.9869071885040284,1.0,0.9732802228720813,0.8241646336107632,-0.4111971110429292
Population Impact,0.9939097787585547,0.9732802228720813,1.0,0.9016783341914372,-0.5304719602990374
Disease Burden,0.8764492908613816,0.8241646336107632,0.9016783341914372,1.0,-0.7445301878207725
Risk,-0.5046019949933229,-0.4111971110429292,-0.5304719602990374,-0.7445301878207725,1.0
